	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
20	Arhitectul a pierdut planurile .	Arhitectul vilei a pierdut planurile .	Arhitectul vilelor a pierdut planurile .	Arhitectul vilei milionarului a pierdut planurile .	Arhitectul vilelor milionarului a pierdut planurile .	Arhitectul vilei milionarilor a pierdut planurile .	Arhitectul vilelor milionarilor a pierdut planurile .	Arhitecții au pierdut planurile .	Arhitecții vilei au pierdut planurile .	Arhitecții vilelor au pierdut planurile .	Arhitecții vilei milionarului au pierdut planurile .	Arhitecții vilelor milionarului au pierdut planurile .	Arhitecții vilei milionarilor au pierdut planurile .	Arhitecții vilelor milionarilor au pierdut planurile .	Arhitectul au pierdut planurile .	Arhitectul vilei au pierdut planurile .	Arhitectul vilelor au pierdut planurile .	Arhitectul vilei milionarului au pierdut planurile .	Arhitectul vilelor milionarului au pierdut planurile .	Arhitectul vilei milionarilor au pierdut planurile .	Arhitectul vilelor milionarilor au pierdut planurile .	Arhitecții a pierdut planurile .	Arhitecții vilei a pierdut planurile .	Arhitecții vilelor a pierdut planurile .	Arhitecții vilei milionarului a pierdut planurile .	Arhitecții vilelor milionarului a pierdut planurile .	Arhitecții vilei milionarilor a pierdut planurile .	Arhitecții vilelor milionarilor a pierdut planurile .
21	Victima a făcut reclamație .	Victima asaltului a făcut reclamație .	Victima asalturilor a făcut reclamație .	Victima asaltului polițistului a făcut reclamație .	Victima asalturilor polițistului a făcut reclamație .	Victima asaltului polițiștilor a făcut reclamație .	Victima asalturilor polițiștilor a făcut reclamație .	Victimele au făcut reclamație .	Victimele asaltului au făcut reclamație .	Victimele asalturilor au făcut reclamație .	Victimele asaltului polițistului au făcut reclamație .	Victimele asalturilor polițistului au făcut reclamație .	Victimele asaltului polițiștilor au făcut reclamație .	Victimele asalturilor polițiștilor au făcut reclamație .	Victima au făcut reclamație .	Victima asaltului au făcut reclamație .	Victima asalturilor au făcut reclamație .	Victima asaltului polițistului au făcut reclamație .	Victima asalturilor polițistului au făcut reclamație .	Victima asaltului polițiștilor au făcut reclamație .	Victima asalturilor polițiștilor au făcut reclamație .	Victimele a făcut reclamație .	Victimele asaltului a făcut reclamație .	Victimele asalturilor a făcut reclamație .	Victimele asaltului polițistului a făcut reclamație .	Victimele asalturilor polițistului a făcut reclamație .	Victimele asaltului polițiștilor a făcut reclamație .	Victimele asalturilor polițiștilor a făcut reclamație .
22	Hoțul a făcut un accident .	Hoțul mașinii a făcut un accident .	Hoțul mașinilor a făcut un accident .	Hoțul mașinii mecanicului a făcut un accident .	Hoțul mașinilor mecanicului a făcut un accident .	Hoțul mașinii mecanicilor a făcut un accident .	Hoțul mașinilor mecanicilor a făcut un accident .	Hoții au făcut un accident .	Hoții mașinii au făcut un accident .	Hoții mașinilor au făcut un accident .	Hoții mașinii mecanicului au făcut un accident .	Hoții mașinilor mecanicului au făcut un accident .	Hoții mașinii mecanicilor au făcut un accident .	Hoții mașinilor mecanicilor au făcut un accident .	Hoțul au făcut un accident .	Hoțul mașinii au făcut un accident .	Hoțul mașinilor au făcut un accident .	Hoțul mașinii mecanicului au făcut un accident .	Hoțul mașinilor mecanicului au făcut un accident .	Hoțul mașinii mecanicilor au făcut un accident .	Hoțul mașinilor mecanicilor au făcut un accident .	Hoții a făcut un accident .	Hoții mașinii a făcut un accident .	Hoții mașinilor a făcut un accident .	Hoții mașinii mecanicului a făcut un accident .	Hoții mașinilor mecanicului a făcut un accident .	Hoții mașinii mecanicilor a făcut un accident .	Hoții mașinilor mecanicilor a făcut un accident .
23	Responsabilul va demisiona .	Responsabilul pentru protecție va demisiona .	Responsabilul pentru protecții va demisiona .	Responsabilul pentru protecția imigrantului va demisiona .	Responsabilul pentru protecțiile imigrantului va demisiona .	Responsabilul pentru protecția imigrantilor va demisiona .	Responsabilul pentru protecțiile imigrantilor va demisiona .	Responsabilii vor demisiona .	Responsabilii pentru protecție vor demisiona .	Responsabilii pentru protecții vor demisiona .	Responsabilii pentru protecția imigrantului vor demisiona .	Responsabilii pentru protecțiile imigrantului vor demisiona .	Responsabilii pentru protecția imigrantilor vor demisiona .	Responsabilii pentru protecțiile imigrantilor vor demisiona .	Responsabilul vor demisiona .	Responsabilul pentru protecție vor demisiona .	Responsabilul pentru protecții vor demisiona .	Responsabilul pentru protecția imigrantului vor demisiona .	Responsabilul pentru protecțiile imigrantului vor demisiona .	Responsabilul pentru protecția imigrantilor vor demisiona .	Responsabilul pentru protecțiile imigrantilor vor demisiona .	Responsabilii va demisiona .	Responsabilii pentru protecție va demisiona .	Responsabilii pentru protecții va demisiona .	Responsabilii pentru protecția imigrantului va demisiona .	Responsabilii pentru protecțiile imigrantului va demisiona .	Responsabilii pentru protecția imigrantilor va demisiona .	Responsabilii pentru protecțiile imigrantilor va demisiona .
24	Copacul a înflorit .	Copacul din parc a înflorit .	Copacul din parcuri a înflorit .	Copacul din parcul aproape de centru a înflorit .	Copacul din parcurile aproape de centru a înflorit .	Copacul din parcul aproape de centre a înflorit .	Copacul din parcurile aproape de centre a înflorit .	Copacii au înflorit .	Copacii din parc au înflorit .	Copacii din parcuri au înflorit .	Copacii din parcul aproape de centru au înflorit .	Copacii din parcurile aproape de centru au înflorit .	Copacii din parcul aproape de centre au înflorit .	Copacii din parcurile aproape de centre au înflorit .	Copacul au înflorit .	Copacul din parc au înflorit .	Copacul din parcuri au înflorit .	Copacul din parcul aproape de centru au înflorit .	Copacul din parcurile aproape de centru au înflorit .	Copacul din parcul aproape de centre au înflorit .	Copacul din parcurile aproape de centre au înflorit .	Copacii a înflorit .	Copacii din parc a înflorit .	Copacii din parcuri a înflorit .	Copacii din parcul aproape de centru a înflorit .	Copacii din parcurile aproape de centru a înflorit .	Copacii din parcul aproape de centre a înflorit .	Copacii din parcurile aproape de centre a înflorit .
25	Avocatul va reveni .	Avocatul infractorului va reveni .	Avocatul infractorilor va reveni .	Avocatul infractorului din sat va reveni .	Avocatul infractorilor din sat va reveni .	Avocatul infractorului din sate va reveni .	Avocatul infractorilor din sate va reveni .	Avocații vor reveni .	Avocații infractorului vor reveni .	Avocații infractorilor vor reveni .	Avocații infractorului din sat vor reveni .	Avocații infractorilor din sat vor reveni .	Avocații infractorului din sate vor reveni .	Avocații infractorilor din sate vor reveni .	Avocatul vor reveni .	Avocatul infractorului vor reveni .	Avocatul infractorilor vor reveni .	Avocatul infractorului din sat vor reveni .	Avocatul infractorilor din sat vor reveni .	Avocatul infractorului din sate vor reveni .	Avocatul infractorilor din sate vor reveni .	Avocații va reveni .	Avocații infractorului va reveni .	Avocații infractorilor va reveni .	Avocații infractorului din sat va reveni .	Avocații infractorilor din sat va reveni .	Avocații infractorului din sate va reveni .	Avocații infractorilor din sate va reveni .
26	Semința dă rezultate promițătoare .	Semința din laborator dă rezultate promițătoare .	Semința din laboratoare dă rezultate promițătoare .	Semința din laboratorul din campus dă rezultate promițătoare .	Semința din laboratoarele din campus dă rezultate promițătoare .	Semința din laboratorul din campusuri dă rezultate promițătoare .	Semința din laboratoarele din campusuri dă rezultate promițătoare .	Semințele dau rezultate promițătoare .	Semințele din laborator dau rezultate promițătoare .	Semințele din laboratoare dau rezultate promițătoare .	Semințele din laboratorul din campus dau rezultate promițătoare .	Semințele din laboratoarele din campus dau rezultate promițătoare .	Semințele din laboratorul din campusuri dau rezultate promițătoare .	Semințele din laboratoarele din campusuri dau rezultate promițătoare .	Semința dau rezultate promițătoare .	Semința din laborator dau rezultate promițătoare .	Semința din laboratoare dau rezultate promițătoare .	Semința din laboratorul din campus dau rezultate promițătoare .	Semința din laboratoarele din campus dau rezultate promițătoare .	Semința din laboratorul din campusuri dau rezultate promițătoare .	Semința din laboratoarele din campusuri dau rezultate promițătoare .	Semințele dă rezultate promițătoare .	Semințele din laborator dă rezultate promițătoare .	Semințele din laboratoare dă rezultate promițătoare .	Semințele din laboratorul din campus dă rezultate promițătoare .	Semințele din laboratoarele din campus dă rezultate promițătoare .	Semințele din laboratorul din campusuri dă rezultate promițătoare .	Semințele din laboratoarele din campusuri dă rezultate promițătoare .
27	Prietena a adormit pe plajă .	Prietena proprietarului a adormit pe plajă .	Prietena proprietarilor a adormit pe plajă .	Prietena proprietarului casei a adormit pe plajă .	Prietena proprietarilor casei a adormit pe plajă .	Prietena proprietarului caselor a adormit pe plajă .	Prietena proprietarilor caselor a adormit pe plajă .	Prietenele au adormit pe plajă .	Prietenele proprietarului au adormit pe plajă .	Prietenele proprietarilor au adormit pe plajă .	Prietenele proprietarului casei au adormit pe plajă .	Prietenele proprietarilor casei au adormit pe plajă .	Prietenele proprietarului caselor au adormit pe plajă .	Prietenele proprietarilor caselor au adormit pe plajă .	Prietena au adormit pe plajă .	Prietena proprietarului au adormit pe plajă .	Prietena proprietarilor au adormit pe plajă .	Prietena proprietarului casei au adormit pe plajă .	Prietena proprietarilor casei au adormit pe plajă .	Prietena proprietarului caselor au adormit pe plajă .	Prietena proprietarilor caselor au adormit pe plajă .	Prietenele a adormit pe plajă .	Prietenele proprietarului a adormit pe plajă .	Prietenele proprietarilor a adormit pe plajă .	Prietenele proprietarului casei a adormit pe plajă .	Prietenele proprietarilor casei a adormit pe plajă .	Prietenele proprietarului caselor a adormit pe plajă .	Prietenele proprietarilor caselor a adormit pe plajă .
28	Acompaniatorul a cântat minunat .	Acompaniatorul solistului a cântat minunat .	Acompaniatorul soliștilor a cântat minunat .	Acompaniatorul solistului din spectacol a cântat minunat .	Acompaniatorul soliștilor din spectacol a cântat minunat .	Acompaniatorul solistului din spectacole a cântat minunat .	Acompaniatorul soliștilor din spectacole a cântat minunat .	Acompaniatorii au cântat minunat .	Acompaniatorii solistului au cântat minunat .	Acompaniatorii soliștilor au cântat minunat .	Acompaniatorii solistului din spectacol au cântat minunat .	Acompaniatorii soliștilor din spectacol au cântat minunat .	Acompaniatorii solistului din spectacole au cântat minunat .	Acompaniatorii soliștilor din spectacole au cântat minunat .	Acompaniatorul au cântat minunat .	Acompaniatorul solistului au cântat minunat .	Acompaniatorul soliștilor au cântat minunat .	Acompaniatorul solistului din spectacol au cântat minunat .	Acompaniatorul soliștilor din spectacol au cântat minunat .	Acompaniatorul solistului din spectacole au cântat minunat .	Acompaniatorul soliștilor din spectacole au cântat minunat .	Acompaniatorii a cântat minunat .	Acompaniatorii solistului a cântat minunat .	Acompaniatorii soliștilor a cântat minunat .	Acompaniatorii solistului din spectacol a cântat minunat .	Acompaniatorii soliștilor din spectacol a cântat minunat .	Acompaniatorii solistului din spectacole a cântat minunat .	Acompaniatorii soliștilor din spectacole a cântat minunat .
29	Profesorul este o celebritate .	Profesorul fratelui meu este o celebritate .	Profesorul fraților mei este o celebritate .	Profesorul fratelui meu din poză este o celebritate .	Profesorul fraților mei din poză este o celebritate .	Profesorul fratelui meu din poze este o celebritate .	Profesorul fraților mei din poze este o celebritate .	Profesorii sunt celebrități .	Profesorii fratelui meu sunt celebrități .	Profesorii fraților mei sunt celebrități .	Profesorii fratelui meu din poză sunt celebrități .	Profesorii fraților mei din poză sunt celebrități .	Profesorii fratelui meu din poze sunt celebrități .	Profesorii fraților mei din poze sunt celebrități .	Profesorul sunt celebrități .	Profesorul fratelui meu sunt celebrități .	Profesorul fraților mei sunt celebrități .	Profesorul fratelui meu din poză sunt celebrități .	Profesorul fraților mei din poză sunt celebrități .	Profesorul fratelui meu din poze sunt celebrități .	Profesorul fraților mei din poze sunt celebrități .	Profesorii este o celebritate .	Profesorii fratelui meu este o celebritate .	Profesorii fraților mei este o celebritate .	Profesorii fratelui meu din poză este o celebritate .	Profesorii fraților mei din poză este o celebritate .	Profesorii fratelui meu din poze este o celebritate .	Profesorii fraților mei din poze este o celebritate .
30	Antrenorul va primi o recompensă .	Antrenorul câștigătorului va primi o recompensă .	Antrenorul câștigătorilor va primi o recompensă .	Antrenorul câștigătorului meciului va primi o recompensă .	Antrenorul câștigătorilor meciului va primi o recompensă .	Antrenorul câștigătorului meciurilor va primi o recompensă .	Antrenorul câștigătorilor meciurilor va primi o recompensă .	Antrenorii vor primi o recompensă .	Antrenorii câștigătorului vor primi o recompensă .	Antrenorii câștigătorilor vor primi o recompensă .	Antrenorii câștigătorului meciului vor primi o recompensă .	Antrenorii câștigătorilor meciului vor primi o recompensă .	Antrenorii câștigătorului meciurilor vor primi o recompensă .	Antrenorii câștigătorilor meciurilor vor primi o recompensă .	Antrenorul vor primi o recompensă .	Antrenorul câștigătorului vor primi o recompensă .	Antrenorul câștigătorilor vor primi o recompensă .	Antrenorul câștigătorului meciului vor primi o recompensă .	Antrenorul câștigătorilor meciului vor primi o recompensă .	Antrenorul câștigătorului meciurilor vor primi o recompensă .	Antrenorul câștigătorilor meciurilor vor primi o recompensă .	Antrenorii va primi o recompensă .	Antrenorii câștigătorului va primi o recompensă .	Antrenorii câștigătorilor va primi o recompensă .	Antrenorii câștigătorului meciului va primi o recompensă .	Antrenorii câștigătorilor meciului va primi o recompensă .	Antrenorii câștigătorului meciurilor va primi o recompensă .	Antrenorii câștigătorilor meciurilor va primi o recompensă .
31	Posesorul va veni .	Posesorul papagalului va veni .	Posesorul papagalilor va veni .	Posesorul papagalului din copac va veni .	Posesorul papagalilor din copac va veni .	Posesorul papagalului din copaci va veni .	Posesorul papagalilor din copaci va veni .	Posesorii vor veni .	Posesorii papagalului vor veni .	Posesorii papagalilor vor veni .	Posesorii papagalului din copac vor veni .	Posesorii papagalilor din copac vor veni .	Posesorii papagalului din copaci vor veni .	Posesorii papagalilor din copaci vor veni .	Posesorul vor veni .	Posesorul papagalului vor veni .	Posesorul papagalilor vor veni .	Posesorul papagalului din copac vor veni .	Posesorul papagalilor din copac vor veni .	Posesorul papagalului din copaci vor veni .	Posesorul papagalilor din copaci vor veni .	Posesorii va veni .	Posesorii papagalului va veni .	Posesorii papagalilor va veni .	Posesorii papagalului din copac va veni .	Posesorii papagalilor din copac va veni .	Posesorii papagalului din copaci va veni .	Posesorii papagalilor din copaci va veni .
